ID	SENTIMENT	TEXT
25_ 3	neutral	I especially like the way that ZoomBrowser EX lets you look at a virtual filmstrip of your pictures.
233_ 17	positive	Capacity is not a problem here.
234_ 11	neutral	You'll see what I mean ... if you have a magnifying glass.
287_ 23	neutral	Without this important feature, both SystemWorks and Internet Security are all but useless.
138_ 4	neutral	And the router itself had protective tape over the Ethernet inputs.
0_ 95	neutral	but it's good enough since i upload them to the computer anyway (and sound is good too once you view it on the computer/tv).
132_ 51	neutral	How did we listen to music before it?
260_ 0	positive	This phone is fantastic.
0_ 105	neutral	The pictures tend to get blurry due to longer exposure, but his can be disabled in the manual settings.
248_ 3	negative	The menu pops up after 3 seconds The picture takes a while to load from its slow card memory.
184_ 7	positive	This is the mp3 player with everything I need.  As long as it lasts me a good three years, I'm satisfied.
190_ 2	neutral	Mp3 players are like a blessing and a curse for people like me.
154_ 5	neutral	The whole process was probably about 10 minutes.
227_ 12	negative	The subscription files are still a little slower to transfer, but it's only by about 10% or so.
132_ 74	positive	  Plus, if you order from Amazon.com, they will exchange it for you no problem.
0_ 104	negative	Only downside is when taking pictures in low-light conditions without the flash.
105_ 2	negative	I built my own router table with a tilt up top & made a hand crank to replace the height adjustment knob & these two things make it easy to change out & raise or lower the bits.
132_ 320	neutral	However, after holding an ipod at circuit city, I knew I had to have one.
225_ 32	neutral	The features this thing has are !
96_ 1	positive	It works easily with one hand, which is important.
132_ 324	neutral	 For this reason, it is very easy to drop.
58_ 3	positive	1. It uses regular garbage bags instead of brand refills.
69_ 4	neutral	For even better odor control we would put a plug ins in the outlet closest to it.
186_ 0	neutral	I've been looking for a portable MP3 player for awhile now.
91_ 7	negative	Then it started to smell whether there were diapers in it or not.
214_ 30	neutral	PS.
54_ 8	positive	There are no specail bags to deal with or buy!
93_ 6	positive	We use regular kitchen sized garbage bags.
132_ 200	neutral	 However, they close you off from exploring the continent that is other music providers.
263_ 0	neutral	I used to work with t-mobile..
215_ 4	neutral	Also if you want to purchase music, its just .79cents per track ..... Here is my origianl review...." My wife already had the Ipod Mini when I purchased this, and I must say seeing it in action, I had some reservations about getting a Zen.
211_ 4	neutral	3It's been dropped, shuffled, kicked, and Lumbered.
287_ 34	neutral	(Intructions for doing so are on Symantecs website.)
132_ 206	neutral	Why would they let anything compete with them when they are making millions from song downloads by iPod owners who have no other choice?
288_ 2	negative	The program brings more problems than a virus, albeit not as major problems, just not what you expect for 70 bucks.
132_ 208	neutral	 And if they treat their customers like herding sheep, I see little reason to purchase another MP3 player with a bitten apple embroidered on it.
217_ 2	neutral	Finally, someone has figured out that building some smarts into the player will help it compete with iPods.
225_ 20	positive	The greatest thing about the software (in my humble) is that it reads your CD info.
0_ 146	positive	This camera is an excellent choice for an ultracompact, take anywhere device and boasts an outstanding movie mode to boot.
225_ 62	neutral	There are do it yourself sites (with pictures)that show you how to repair it, but keep in mind that you will have to break the warranty seal, which means?
166_ 37	neutral	You are really the ones that need this the most.
132_ 433	neutral	 Pros Holds a ton of music.
93_ 7	positive	We've never experienced odor from the pail.
101_ 4	negative	The collet for the 1/4 inch bits is a pain to get in and even harder to get out.
268_ 6	neutral	For the linux users out there who are intrested in my setup: I'm running Debian (Knoppix 3.4) with a custom 2.6.7 kernel.
132_ 387	neutral	Just don't drop it.
12_ 1	neutral	A 2X optical zoom (you can pretty much ignore any time a  manufacturer refers to "digital zoom")
184_ 4	positive	I love how small the thing is, and the blue glow - I've had it for two weeks with no electronic problems at all.
0_ 118	neutral	The first time, I paid $165 (excluding shipping) to have it fixed by Canon Service Center.
175_ 7	neutral	But if you want to get into networking and running wireless.
79_ 22	negative	The other pail I used started to smell after 2 weeks of use.
128_ 4	neutral	It works well with the larger bits.
241_ 11	positive	If you love your cell phone games or changing your ring tones everyday, Nokia beats everyone else.
212_ 11	neutral	They are bold colors, not the (personally) irratating toned down 'light' Ipod colors.
0_ 187	neutral	The Fujifilm F10 is probably the best compact camera for low light (ISO 400 with not much noise, even ISO 800 is relative good).
132_ 80	neutral	 The best thing for anyone to do who has not used one is to ask the store clerk at apple or a teenager for advice on how to operate it.
58_ 5	positive	3. It never smelled - at all.
3_ 15	neutral	Very wrong.
168_ 2	negative	I tried to do this by instinct and it's not intuitive unless you are a network geek.
239_ 2	neutral	Bought a bluetooth headset and it works like a wonder.
238_ 1	positive	since then, i have not found one major problem with it.
132_ 398	neutral	I guess that's a pretty minor deal, but it can be annoying.
231_ 6	positive	This is the first phone I know of that has the large bright screen, infrared, bluetooth, USB connector and a speakerphone.
255_ 6	neutral	I've synched it with my Jabra 250 bluetooth headset.
83_ 1	positive	Personally, I am VERY pleased with the Diaper Champ.
303_ 0	neutral	Product is OK; however, despite the fact that I followed the rebate instructions explicitly, I am being denied the rebate because the processing agency incorrectly claims I did not send in proof of ownership of a previous product.
166_ 62	neutral	You can prevent any, and all file transfers to your PC.
298_ 5	neutral	I agree with the other reviewer that it doesn't even deserve 1 star.
35_ 14	positive	The panorama modes are wonderful.
89_ 17	neutral	In talking with other parents, I get the same feedback - as babies get older and become toddlers, ALL DIAPER PAILS become gradually less and less effective until they are just no longer useful.
268_ 18	negative	I will say that the OS that the phone runs does have a few issues.
209_ 7	positive	Before you run out and buy an iPod, understand something: there are REASONS the Zen is worth encountering this kind of hassle, principally excellent (for MP3) sound quality.
99_ 2	positive	I actually took a friends word on it and went with this Champ when registering and I am glad I did.
7_ 3	positive	Hate to wait between shots
189_ 35	neutral	This is what I do:  I copy all the music I want to import to the Zen Micro into an iTunes play list.
132_ 196	negative	  The thing has survived plenty of falls with little or no damage, except the inevitable scratches.
84_ 0	positive	This is a great diaper pail.
149_ 5	neutral	Very disappointing.
165_ 0	neutral	Years ago I had an old Linksys router that I never could get to work right.
132_ 394	neutral	  The major change from the previous model, other than the extra 5G for the same price, is that this one is slightly smaller and lighter, and the already minimal buttons (menu, play/pause, forward and back) have now been assigned to the four quarters of the click wheel, so that even less brain power is required to search through your 10,000 stolen mp3s.
200_ 2	negative	Many other reviewers are mentioning that they have had no problems at all> I would say that the main problem is that this player is just not made very well.
117_ 2	positive	I have a tendency to do quite a bit of research before I drop money on a tool and everyone I talked to loved this router.
132_ 390	neutral	 Then I had the second one in my boyfriend's car, and his car got jacked.
208_ 2	neutral	After reading reviews and talking to a few friends, I decided on the Zen.
60_ 4	negative	The Diaper Genie needs it's own refill bags in order to work and that's just more money that you don't have to spend.
193_ 25	neutral	Immediately you could tell a very distinct difference between the two Creative MP3 players.
243_ 40	neutral	You will also hard-reset both your Palm and your Nokia to factory defaults in their lame attempts to get the script to work, though it will not.
55_ 0	neutral	In concept, it's a fabulous idea.
49_ 4	positive	The pictures are beautiful, and the camera is so small you can carry it anywhere.
139_ 18	neutral	However, if you are not a tech person and!
250_ 14	negative	Speaker volume is loud and clear but it sacrifaces the battery life.
279_ 2	positive	You can turn this phone into a gaming machine, a camcorder or a digital camera, an mp3-player, a movie viewer, a voice recorder, a personal secretary, a GPS map browser, a book, a multifunction remote controller, practically everything that you can do with the computer, plus it is a phone(!!) and also you can carry it in your pocket :).
287_ 19	negative	Almost from the beginning, LiveUpdate would not function.
69_ 3	positive	THIS ITEM IS EXCEPTIONAL I like the ease of use and it held the odor in great.
35_ 8	negative	For example, in auto mode you can't use the flash redeye reduction, you must be in manual mode for that.
242_ 45	negative	The second piece of advice - Be prepared to spend a lot of time w/ this phone.
132_ 408	negative	First of all, I've never been big on earbuds - they're just not that comfortable.
298_ 10	negative	Norton support is completely pathetic.
0_ 114	positive	I love the rounded edges now, fits so much better in a pocket, jeans or suit.
0_ 46	neutral	Camera has been treated with kid gloves since day one.
199_ 8	neutral	My preference for the touchpad sensitivity setting is 'medium'.
134_ 0	neutral	It's probably a fine router, but I found the install wizard to be of poor quality.
201_ 25	positive	Overall, the Micro is a solid device and I haven't fell into a problem with it yet *knocks on wood*.
287_ 6	negative	The antivirus feature is phenomenal, and is regularly updated.
136_ 7	positive	This setup using the CD was about as easy as learning how to open a refrigerator door for the first time.
153_ 2	positive	The main advantage of this system over its predecessor is the ability to open a wider pipeline between clients.
209_ 18	neutral	Something about the pictures suggests a deck-of-cards size, but you can hide the Micro completely under a standard business card.
3_ 2	neutral	I take it with me everywhere,literally,
0_ 31	positive	The Canon is very small, definitely pocket size, but still easy to hold firmly.
28_ 3	neutral	I said, can your fancy camera do that?
209_ 2	neutral	Why, troubleshooting, mediating software conflicts, devising workarounds, and when things got too bizarre, even calling tech support.
136_ 33	neutral	Follow the directions exactly.
132_ 167	positive	Everything I Wanted! The Apple iPod has become one of the most sought-after electronic gadgets - and for good reason.
132_ 249	positive	 And, with the iPods' full volume up, all you have to do is adjust your receivers' volume and your set, since the iPod itself acts as a strong amplifer of its' own.
287_ 43	neutral	No longer.
206_ 2	neutral	Of all the players that I have owned in the past (6 of them), all of them have had drawbacks and problems.
233_ 43	neutral	gee anyways ENJOY WHAT WORKS!
124_ 3	neutral	The Hitachi, on the other hand has a beautiful large flat edge to run against a guide, and the sub-base is recessed so as not to interfere.
140_ 9	neutral	No hold time.
0_ 198	neutral	To limit lag time, turn off flash or if flash needed, turn off display.
178_ 5	neutral	Though admittedly I am a novice at networking, I am not an idiot and can read directions.
249_ 3	positive	I can use it as a modem for my computer, connect with clients and friends, the possibilities are endless.
291_ 6	negative	The customer support is pathetic.
132_ 52	neutral	This 20 gigabyte iPod by Apple Computer allows you to put up to 5000 songs onto it, in a choice of digital formats.  MP3, AAC, etc.
132_ 7	negative	 It has an equalizer, but the iRiver H10-20GB has a lot more presets than the iPod.
190_ 5	neutral	I decided to go with the convienence factor and purchase a creative zen micro.
132_ 429	positive	 Overall, this product is AWESOME.
151_ 8	positive	Overall, this router seems like a reasonably priced product th!
213_ 4	neutral	anyway, here's the pros and cons:  +linux compatible with the 1.x series of firmware.
217_ 16	neutral	I'm not professing to be a consumer-survey corporation, but I don't know *anyone* with an iTunes account.
79_ 26	positive	Let the Champ win you over!
87_ 1	positive	It works great.
256_ 8	neutral	Why have the function if you can't film anything longer than e few seconds?
166_ 58	neutral	My last topic concerns the security setup you do, or have done with your router.
186_ 14	positive	The package also comes with a USB cable, an AC adapter, a pair of headphones (they're okay until you get a better pair), a stand, and a microfiber pouch to carry your Zen Touch in.
233_ 0	neutral	Its been 11 months now that I've held on to my Nokia 6600 for.
132_ 492	neutral	 It's small and lightweight, but it has very little storage space and the shape is clunky.
132_ 182	positive	ITunes can be downloaded from the enclosed CD or for free from the Apple site.
299_ 7	neutral	It did find Outlook Express, but that's not what I use.
232_ 1	negative	3660 had similar features, but that is big in size.
240_ 10	positive	Few month ago, it's very popular among my community.
225_ 45	negative	because the "engineers" at Creative screwed up the design of the headphone jack.
178_ 16	neutral	Anyway, after learning that the "Speedboost" feature only does anything for you if (1) you are also using a Speedboost adapter (which I was), and (2) if you are transferring large data files between computers (Note: it does NOT increase your speed on the Internet, but only between computers on the network), I opted to return the product and get the standard Wireless G (v.5).
311_ 11	negative	I see many other reviews that say the same....stay away from Norton, they don't deserve you, or anyone!
0_ 61	positive	Audio is mono and fairly acceptable, quiet also with little distortions.
183_ 29	neutral	3.
183_ 40	negative	IRiver has a better FM receiver built in, but the drawback to IRiver products is they are flimsy and poorly constructed.
208_ 14	neutral	I haven't used the Organizer feature (apparantly you can sync with Outlook).
115_ 4	negative	Shortly after I brought it, the plunging shafts started sticking.
132_ 348	neutral	 I was shopping for a MP3 player recently, and had the opportunity to play with my cousin's 20GB iPod at some length to see how I liked it.
131_ 16	negative	The electronic speed control is not doing it's job and the router begins to speed up and slow down at will.
132_ 282	neutral	  THE PROS  The bad ends here, because as far as I'm concerned the rest of...well...everything concering the iPod is an enormous PLUS!
192_ 16	negative	- Not compatible with Audible.com books.
0_ 69	neutral	But if you want a pocket camera to use when you cant take your Digital SLR with you that will capture quality images this is your choice of camera.
124_ 4	positive	The power is incredible, it cut through MDF and plywood like butter.
0_ 189	neutral	For me the colors of the Casio-cameras (Z750, Z50)aren't by far as good as that of the SD500, the pictures looks more artificial and over processed.
32_ 16	neutral	Another is the ability to upload images from your PC to a memory  card in the camera.
113_ 5	positive	The handles make it very comfortable to use and I experience little vibration.
249_ 4	positive	The ringtones are beautiful, the screen is super high quality.
166_ 15	neutral	Of course your data, and installed programs are gone if you do that.
132_ 358	neutral	 I disagree.
228_ 0	neutral	Nobody has clearly articulated what exactly about the Ipod mini makes it better than this product.
29_ 3	positive	This is a great product, and Canon has done an excellent job.
225_ 31	neutral	Once I did this, visions of burning my CDs-literally-dance around my head, and all was right in the world (of course, I would have backed my files up, silly).
124_ 7	positive	I do not count this as a negative, however, because it is not that much of a nuisance and at the price for what you get this router is way too good to pass up!!!
242_ 43	positive	There are number of downloads needed/available for this phone & they will be texted to you at no cost.
243_ 38	neutral	The supervisor stated that it must have been third-party applications on the 6600 that caused the 3650 to break, and would not take the suggestion that his own tier-2 technicians stated that it was not possible to back up the 6600 to the 3650 without damaging the 3650, regardless of what was or was not on the 6600.
139_ 6	positive	I have had mine for about a year and use a third party firmware on mine and love it.
100_ 18	neutral	It takes all of 2 minutes, if that.  4.
312_ 2	neutral	It seems like Symantec did a lousy job on this version.
67_ 5	negative	But, sometimes, if the Champ is too full, the flip handle won't function.
302_ 1	neutral	Some of the options are confusing, especially when the popup warnings occur, but I've had no problems with intrusions.
307_ 10	neutral	And this despite the fact that I'm not even using AntiSpam.
132_ 293	neutral	 But really, EVERYONE I've seen with an iPod leaves them off.
132_ 365	neutral	 Since no company has yet to come out with an interchangeable battery for the jukebox-sized players (the Creative Labs Zen Micro is the only one I'm aware of that has this, and it's 5 GB), this can be an issue.
253_ 8	positive	In short, the Nokia 6600 is an evolution but not a revolution.
132_ 345	negative	However, in my mind, $299 is a lot to pay for a device that will only last 18 MONTHS.
251_ 8	negative	3- It is SLOW , if you keep the original configuration and progs (why'd u buy it then ?!) it'll run smoothly , but still slower than most other coloured-screen Nokias .
221_ 11	neutral	Apple has tried to hide something from you: most people don't actually need more than a few gigs at most.
166_ 34	neutral	With wireless routers, you have another potential hole, "the wireless connection".
132_ 329	neutral	 Organizing music is a breeze too.
207_ 16	neutral	My PC is running Windows 98 though....maybe having old outdated things is a good thing for once!
220_ 3	positive	The sound is bright and clear, the ability to store any MP3's (and not just Apple-approved files) is great, and I plan to make use of the storage space and sound recording from time to time.
100_ 3	positive	In fact, I liked it so much after using it with my son who is now 2 years old, that I bought one for our new baby's room.
256_ 16	neutral	But beware of the bugs; they are major!
318_ 3	positive	I upgraded from NIS 2003, and the change in performance has not been noticeable.
132_ 391	neutral	Fortunately his insurance covered it (also extraordinary), and as luck would have it, this new gen of iPods came out the same week he got the check.
306_ 15	negative	They didn't know what the problem could be.
132_ 389	neutral	 Actually I had two: the first one stopped working within a month so I took it back, and they exchanged it (which is evidently pretty extraordinary - guess I lucked out.  I didn't tell them I had dropped it once).
36_ 10	positive	4- Looks great.
285_ 0	positive	I'm not sure why all the bad reviews, my computer isn't especially slowed down and I have Win'98.
0_ 22	positive	They say that they are the best pictures they have ever see from a compact.
38_ 1	positive	This camera is great, wonderfully small, and has attactive hi-tech casing.
307_ 3	negative	You can "disable" some of the individual components, but don't be fooled--they're still there and running.
0_ 202	neutral	Check out the other professional reviews for this camera on the web.
80_ 4	positive	I use the regular kitchen trash bags and it is so easy to empty.
189_ 12	neutral	1.
132_ 191	neutral	 Wow... just less than 15 minutes and the back of it already has a scratch!
214_ 16	neutral	One was the firmware upgrading from the installation CD and the second was regarding the "playforsure" (even though it's in BETA), to make sure I could use Napster 2 Go.
132_ 405	neutral	But seriously though, how bout we work on the durability thing for the next gen.
15_ 8	negative	The digital zoom is crap.
281_ 3	neutral	I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.
1_ 4	negative	I have to move pictures off of it every day so I have room for more pictures the next, and I don't have enough money to buy the 256 MEG card that I've had my eye on for a while.
132_ 92	neutral	This is a great device, but there are its pros and cons.
147_ 4	negative	That is, you cannot access the internet at all.
100_ 11	positive	So much safer than the others that require a two handed operation!
76_ 2	neutral	I have heard that it will eventually become my sons favorite place to put his toys when he becomes a toddler, but I've got 2 years to worry about that and I'm sure I'll figure out preventative measures like any other mom.
174_ 17	neutral	Best practice is learn how to setup encryption.
142_ 6	neutral	After countless attempts at recycling the modem and WPA keys etc.
274_ 12	neutral	Looks big in the display ads though.
312_ 8	positive	I've tried the free versions of zone alarm and the free version of sygate and they both have a nice and easy installation and work great!.
132_ 392	neutral	  So I got a free 5G upgrade out of that misfortune.
125_ 8	positive	I've got a buddy who's trying to offload his almost new $300 Speedmatic because he saw what this router can do.
215_ 15	positive	BUY THE ZEN!"
132_ 77	neutral	Very Pleased.
132_ 110	neutral	Get an ARCHOS Gmini400 instead  If you are doing your research and thinking whether iPod is right for you...      give the ARCHOS Gmini400 a look.
229_ 13	positive	By far this seems to be the best value out there for the money; if you are undecided, the Creative Zen Micro seems to be the best choice.
166_ 21	neutral	Many if not most cable / DSL systems are looking for the Mac address!
317_ 0	neutral	While it has a rather effective firewall, and comes with Norton Antivirus (which I'm actually rather fond of), the Security Suite has significantly slowed down my system.
132_ 369	neutral	  This may be the player for you, but it's not leaps and bounds ahead of any other player, and others are ahead of it in certain areas, so practice some caution when you buy.
0_ 59	positive	I have especially enjoyed the 640x480 mode, while not a replacement for a dedicated video camera, its quality easily surpasses that of my old Hi-8 camera and is perfect for quick clips of things that still images just dont describe (max 8 mins at 640 30fps on a one gig card).
111_ 4	positive	UNLIKE other reviewers, I like the tool because it is easy to operate outside of the router table.
132_ 528	neutral	There's no two ways about it, I have been less than impressed with my own iPod 20 GB when it arrived two weeks ago.
324_ 14	negative	This time, it started the uninstallation process, then I left for work. I think it will work. I hope it will work.
31_ 8	negative	All that said, I am a little disappointed with the quality of the pictures from the camera.
0_ 124	neutral	In response to "testing" the LCD through pressure in the center and sides, I am glad that it did not cause any damage.
181_ 3	neutral	When most of us purchase these little devises, we do so because of their diminuitive size and extraordinary storage capacities.
157_ 3	positive	IF YOU NEED A WIRELESS ROUTER.... GET IT GET IT GET IT.... works really good....
140_ 8	neutral	A five minute call to the tech support people was all it took to get the router up and running.
32_ 10	positive	The two-times optical zoom operates smoothly  and quietly, and lo and behold, a two-piece shutter-like cap automatically  slides closed over the lens when you turn the camera off.
143_ 1	positive	It took me about an hour to set up a wireless environment in her townhouse and she hasn't called me yet with any problems.
207_ 7	negative	Well, I got my second player, and right out of the box it wasn't working right and once again, after consulting customer se!
98_ 2	neutral	I am wondering how some of these reviewers are able to stand having kids?
132_ 346	neutral	 Hence, the one star rating...
132_ 166	neutral	Buyer beware!
151_ 3	neutral	I had to change the channel of the router, like the channel on a cordless phone, to get it to work with the Linksys Instant USB Wireless Adapter v2.6.
163_ 10	neutral	Maybe you could consider the used WRT54G version 3.1 if you can find it?
131_ 9	negative	Luckily the soft start helped before it took the wood and tossed it or worse case, a finger.
213_ 29	positive	But since it's so small, it isn't a big deal to bring it with me.
36_ 6	neutral	Fool proof.
221_ 6	positive	unarguably better than Apple's, and nice earbuds to boot.
195_ 34	neutral	Instead I use a cellphone cover with a belt clip and it works just fine.
144_ 12	neutral	However, since it is not being able to perform its core function adequately, it doesn't deserve any higher.
132_ 248	neutral	 I actually hooked up the iPod to my receivers AUX port with a Pbus connector and a Y-splitter cable, it wasn't too hard to do and now, I can listen to all my music in my car without ever having to lug around CDs again.
32_ 19	neutral	As other reviews have noted, you will  definitely want one or more additional memory cards.
138_ 20	neutral	I would suggest for Linksys to include a hardcopy quickstart guide for those users with !
15_ 2	neutral	Here are some useful facts:-
221_ 7	neutral	Looks?
206_ 19	negative	While transferring songs to the player, the interface has crashed a few times (4-5 times in a 4-5 hour period) normally this would cause me major concern, but it appears that this bug is reproducible, which leads me to believe that Creative will fix it with a patched version shortly (or maybe it's just my computer).
290_ 9	positive	You won't need to update your firewall and antivirus separately or install two disks.
183_ 16	neutral	The company has received thousands of complaints about this and refuses to do anything about it. .
108_ 11	neutral	This entails wiping the rods, blowing compressed air into the housings, and lightly lubricating the rods with silicone lubricant.
227_ 15	neutral	However, once an album is playing, there's no gap between songs.
0_ 220	neutral	On the 60fps setting it seems like a regular video recorder!!
36_ 3	neutral	I've been taking near 100 pictures per month since I got mine.
149_ 4	neutral	I'm returning this, as I'm not willing to waste more time trying to contact tech support, particularly in light of the comments of other reviewers who have done so.
31_ 9	positive	They are razor sharp, the color balance is perfect, and the focus is great.
144_ 2	negative	The Achilles heel of this router is its inability to stream music, or copy large files over the local network.
233_ 18	positive	4. The Build is just right.
136_ 13	neutral	Within 10 minutes I was surfing the web from all over the house.
211_ 6	neutral	I've never owned an Ipod, so this won't be a which one is better review.
270_ 11	positive	It's a bit pricey to call home from other countries but the instant messaging to and from covered countries in Europe are quite reasonable.
1_ 0	positive	I want to start off saying that this camera is small for a reason.
173_ 7	negative	The downside being that the Tivo can only connect at 802.11b speeds and not 802.11g.
134_ 2	neutral	I know more about networking than 70% of the consumers out there, so I was able to puzzle my way through it, but only by second guessing the documentation at various stages.
112_ 0	neutral	My first experience with this router was when I was working in a professional window and door shop.
128_ 6	positive	It has plenty of power.
196_ 13	positive	Transferring files couldn't be easier thanks to the included software bundle.
132_ 526	neutral	Well reviewing a product like this is definitely complicated, because do I rate my personal connotation on it?
3_ 9	negative	This camera uses a lithium battery, I find lithium batteries to be highly inconvenient; because what if you are on vacation, where the nearest place to buy batteries is just a gas station--there is no way that you are going to find lithium batteries there.
0_ 215	neutral	Camera powers on and ready in about a second.
256_ 9	negative	I find this feature on this phone useless, but, since I don't really need this function anyway, I don't really use it.
127_ 2	positive	Cuts are easy and smooth.
225_ 43	negative	But, all of this means nothing, because of the serious, serious, stupid and ridiculously elemenatary design flaw: After 3 months, give or take a few weeks, you won't be able to hear anything.
0_ 147	positive	The instruction manuals and documentation are excellent so that the learning curve will be much less steep.
166_ 67	neutral	However many you open up, remember you are putting holes in your firewall, making your computer!
269_ 2	positive	you actually can talk to a real person for support in under an hour!).
105_ 3	neutral	Also stuck a couple of o-rings in the collet like a previous reviewer suggested & have never had a stuck bit.
93_ 9	positive	I also love that you can flip the device with one hand...
132_ 407	neutral	 The other thing is the earbuds.
178_ 22	positive	I still need to read up on some of the security settings, etc to fully understand all that's up there, but bottom-line is that the installation was like night and day compared to the Speedboost router.
0_ 175	positive	if you are looking for a small camera to throw in your pocket, take great pics and video, get the SD500.
287_ 1	negative	This product has virtually all the same installation problems.
132_ 402	neutral	 The thing is, naturally you're going to use your iPod at the gym or whatever, and it can be a bit of a liability because you always feel like you have to protect it.
211_ 3	neutral	It's been in my pocket, in my car, and in my bag in 20 inches of snow and 100 degree summers.
0_ 18	negative	Some more manual control would have been nice.
44_ 0	neutral	OK so I bookmarked pages about this camera on our home computer, in a place I was sure my wife would see, and loh and behold, what did I get.
205_ 18	positive	They also sound excellent compared to other earbuds including retail sets like Panasonics and Sennheisers.
249_ 8	negative	I can NOT find a carrier for this phone I like, end up just tossing it in my purse.
140_ 1	neutral	The tough part was deciding whether or not I needed the "Speedbooster" version.
178_ 23	neutral	The performance of the router itself deserves 5 stars, but the Linksys documentation and support is so poor that I can only give it 4.
274_ 16	neutral	So my review should defintely give you an idea about this phone.
77_ 0	positive	I think it's great.
221_ 3	neutral	Tall order, eh?
132_ 472	negative	This is only a problem at night, during the day the screen is very easy to see.
111_ 17	positive	For me, it is as important that the tool be comfortable to use as it is that it produce a high-quality result.
250_ 5	negative	This process can be very annoying and unsafe when you are driving a stick shift on the highway.
147_ 11	neutral	I have returned it and have a cheaper, nicer Belkin.
132_ 23	negative	 There is no photo viewing option, however, there is a 20 GB photo iPod, but it costs $20 more.
199_ 19	neutral	I say get one today!!
132_ 160	neutral	  It seems to deteriorate every time I use it.
127_ 11	positive	I really liked the price...
193_ 10	neutral	I also hated the packaging, with a passion.
31_ 5	positive	The software has been installed on Windows 95, 98, 2000 and XP and I haven't had any problems with it.
169_ 9	neutral	This is my first foray in!
281_ 1	neutral	I bought NIS 2004 recently to try it out.
100_ 13	positive	The Diaper Champ is so simple that my toddler loves to put his own diapers in the diaper champ and flip over the handle.
71_ 8	positive	But from my experience, by the time it gets to that point, the bag is really heavy, so I think this is kind of helpful- it's a built-in way of keeping the bag manageable upon emptying.
111_ 5	positive	Both the on/off switch (soft start) and the depth lock are within easy reach of the right hand.
9_ 1	positive	It's still one of the smallest 2MP digital cameras on the market, and absolutely one of the best-built most stylish cameras ever.
146_ 10	neutral	No more connection!
181_ 9	positive	The base was deeper and the highs were crisper.
232_ 7	positive	Goes ~3 days after a charge.
318_ 4	positive	On the contrary, I'm quite pleased with my upgrade.
150_ 4	neutral	If buying for home office or small business this is a must.
115_ 2	positive	I find that it is stable in my hands and its' weight actually contributes to that stability.
0_ 83	positive	digital zoom is clear too...say you used all 3x optical zoom, try to do digital zoom then...just try not to shake the camera at all and you'll still get a clear good quality picture
225_ 0	positive	The Creative Zen Micro, at first glance, is a dream come true for all mp3 and music lovers.
191_ 16	positive	The first thing I did was upgrade the firmware to the version required for WMP10, it syncs flawlessly with Media Player and transfers are fast.
134_ 8	neutral	provide no printed manual.
0_ 30	neutral	More detail. More natural color.
108_ 2	positive	I noticed that the micro adjustment knob and collet are well made and work well too.
221_ 18	positive	Flawless.
250_ 3	negative	This phone doesn't include Phone card calling.
166_ 12	neutral	They then send in Trojans, Worms, (programs that extract, and run themselves in your computer) plus other nasties, to steal information, or take control.
313_ 5	neutral	My computer configuration is probably all screwed up at this point.
